LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,FISHLAND,NLD,TONNE,A,1999,1377262.1,
DNK,FISHLAND,NLD,TONNE,A,2000,1462774.5,
DNK,FISHLAND,NLD,TONNE,A,2001,1461621.5,
DNK,FISHLAND,NLD,TONNE,A,2002,1363077.9,
DNK,FISHLAND,NLD,TONNE,A,2003,967010.6,
DNK,FISHLAND,NLD,TONNE,A,2004,1046571.7,
DNK,FISHLAND,NLD,TONNE,A,2005,867271.1,
DNK,FISHLAND,NLD,TONNE,A,2006,793399.5,
DNK,FISHLAND,NLD,TONNE,A,2007,589643.9,
DNK,FISHLAND,NLD,TONNE,A,2008,621295.5,
DNK,FISHLAND,NLD,TONNE,A,2009,690459.5,
DNK,FISHLAND,NLD,TONNE,A,2010,701069.8,
DNK,FISHLAND,NLD,TONNE,A,2011,615735.7,
DNK,FISHLAND,NLD,TONNE,A,2012,398161.2,
DNK,FISHLAND,NLD,TONNE,A,2013,543078.3,
DNK,FISHLAND,NLD,TONNE,A,2014,600333.4,
DNK,FISHLAND,NLD,TONNE,A,2015,743005.3,
DNK,FISHLAND,NLD,TONNE,A,2016,551926.5,
DNK,FISHLAND,NLD,TONNE,A,2017,779519.2,
DNK,FISHLAND,NLD,TONNE,A,2018,684065.1,
DNK,FISHLAND,NLD,TONNE,A,2019,545762.4,
DNK,FISHLAND,NLD,TONNE,A,2020,625636.1,
DNK,FISHLAND,NLF,TONNE,A,1995,31971.4,
DNK,FISHLAND,NLF,TONNE,A,1996,112575.9,
DNK,FISHLAND,NLF,TONNE,A,1997,90701.8,
DNK,FISHLAND,NLF,TONNE,A,1998,81958.3,
DNK,FISHLAND,NLF,TONNE,A,1999,39741.9,
DNK,FISHLAND,NLF,TONNE,A,2000,81392.8,
DNK,FISHLAND,NLF,TONNE,A,2001,62888.3,
DNK,FISHLAND,NLF,TONNE,A,2002,92217.1,
DNK,FISHLAND,NLF,TONNE,A,2003,87225.9,
DNK,FISHLAND,NLF,TONNE,A,2004,58974.8,
DNK,FISHLAND,NLF,TONNE,A,2005,49154,
DNK,FISHLAND,NLF,TONNE,A,2006,79135,
DNK,FISHLAND,NLF,TONNE,A,2007,75537.7,
DNK,FISHLAND,NLF,TONNE,A,2008,70889.4,
DNK,FISHLAND,NLF,TONNE,A,2009,88300,
DNK,FISHLAND,NLF,TONNE,A,2010,120308.1,
DNK,FISHLAND,NLF,TONNE,A,2011,98706.8,
DNK,FISHLAND,NLF,TONNE,A,2012,105693.7,
DNK,FISHLAND,NLF,TONNE,A,2013,119966,
DNK,FISHLAND,NLF,TONNE,A,2014,138192.5,
DNK,FISHLAND,NLF,TONNE,A,2015,118695.6,
DNK,FISHLAND,NLF,TONNE,A,2016,110325.3,
DNK,FISHLAND,NLF,TONNE,A,2017,117521.8,
DNK,FISHLAND,NLF,TONNE,A,2018,98064.5,
DNK,FISHLAND,NLF,TONNE,A,2019,86495.2,
DNK,FISHLAND,NLF,TONNE,A,2020,102629.5,
DNK,FISHLAND,NLD,USD,A,1995,515175228.8,
DNK,FISHLAND,NLD,USD,A,1996,485237588.5,
DNK,FISHLAND,NLD,USD,A,1997,481609413,
DNK,FISHLAND,NLD,USD,A,1998,478993262.5,
DNK,FISHLAND,NLD,USD,A,1999,439038098.6,
DNK,FISHLAND,NLD,USD,A,2000,370853813.8,
DNK,FISHLAND,NLD,USD,A,2001,396167718.4,
DNK,FISHLAND,NLD,USD,A,2002,428265034.7,
DNK,FISHLAND,NLD,USD,A,2003,380050974.6,
DNK,FISHLAND,NLD,USD,A,2004,405300288,
DNK,FISHLAND,NLD,USD,A,2005,435573848.6,
DNK,FISHLAND,NLD,USD,A,2006,463742068.9,
DNK,FISHLAND,NLD,USD,A,2007,440360161.5,
DNK,FISHLAND,NLD,USD,A,2008,429712928.6,
DNK,FISHLAND,NLD,USD,A,2009,347365063.4,
DNK,FISHLAND,NLD,USD,A,2010,424816347.3,
DNK,FISHLAND,NLD,USD,A,2011,479418745.3,
DNK,FISHLAND,NLD,USD,A,2012,380645673.9,
DNK,FISHLAND,NLD,USD,A,2013,405529859,
DNK,FISHLAND,NLD,USD,A,2014,381154205.6,
DNK,FISHLAND,NLD,USD,A,2015,396571905.1,
DNK,FISHLAND,NLD,USD,A,2016,426409810.8,
DNK,FISHLAND,NLD,USD,A,2017,411984578.5,
DNK,FISHLAND,NLD,USD,A,2018,459645083.9,
DNK,FISHLAND,NLD,USD,A,2019,391910304.1,C
DNK,FISHLAND,NLD,USD,A,2020,374281471.9,C
DNK,FISHLAND,NLF,USD,A,1995,21754714.36,
DNK,FISHLAND,NLF,USD,A,1996,34544294.14,
DNK,FISHLAND,NLF,USD,A,1997,34701036.99,
DNK,FISHLAND,NLF,USD,A,1998,33848977.55,
DNK,FISHLAND,NLF,USD,A,1999,27149463.31,
DNK,FISHLAND,NLF,USD,A,2000,32829838.5,
DNK,FISHLAND,NLF,USD,A,2001,31807659.67,
DNK,FISHLAND,NLF,USD,A,2002,36894828,
DNK,FISHLAND,NLF,USD,A,2003,38128226.7,
DNK,FISHLAND,NLF,USD,A,2004,43240759.09,
DNK,FISHLAND,NLF,USD,A,2005,45697239.51,
DNK,FISHLAND,NLF,USD,A,2006,59939105.36,
DNK,FISHLAND,NLF,USD,A,2007,59515039.22,
DNK,FISHLAND,NLF,USD,A,2008,71978839.81,
DNK,FISHLAND,NLF,USD,A,2009,65049087.75,
DNK,FISHLAND,NLF,USD,A,2010,99535493.36,
DNK,FISHLAND,NLF,USD,A,2011,112489021.6,
DNK,FISHLAND,NLF,USD,A,2012,127134886.4,
DNK,FISHLAND,NLF,USD,A,2013,132754474.9,
DNK,FISHLAND,NLF,USD,A,2014,137510394.7,
DNK,FISHLAND,NLF,USD,A,2015,107810206,
DNK,FISHLAND,NLF,USD,A,2016,118492696.3,
DNK,FISHLAND,NLF,USD,A,2017,105060650.6,
DNK,FISHLAND,NLF,USD,A,2018,98610376.09,
DNK,FISHLAND,NLF,USD,A,2019,97621270.47,C
DNK,FISHLAND,NLF,USD,A,2020,106450434.6,C
FIN,FISHLAND,NLD,TONNE,A,1995,101756,
FIN,FISHLAND,NLD,TONNE,A,1996,108259,
FIN,FISHLAND,NLD,TONNE,A,1997,108789,
FIN,FISHLAND,NLD,TONNE,A,1998,108318,
FIN,FISHLAND,NLD,TONNE,A,1999,92155,
FIN,FISHLAND,NLD,TONNE,A,2000,97436,
FIN,FISHLAND,NLD,TONNE,A,2001,93427,
FIN,FISHLAND,NLD,TONNE,A,2002,90527,
FIN,FISHLAND,NLD,TONNE,A,2003,72053,
FIN,FISHLAND,NLD,TONNE,A,2004,78386,
FIN,FISHLAND,NLD,TONNE,A,2005,83283,
FIN,FISHLAND,NLD,TONNE,A,2006,95584,
FIN,FISHLAND,NLD,TONNE,A,2007,92607,
FIN,FISHLAND,NLD,TONNE,A,2008,90261,
FIN,FISHLAND,NLD,TONNE,A,2009,84829,
FIN,FISHLAND,NLD,TONNE,A,2010,82491,
FIN,FISHLAND,NLD,TONNE,A,2011,78305,
FIN,FISHLAND,NLD,TONNE,A,2012,102825,
FIN,FISHLAND,NLD,TONNE,A,2013,109776,
FIN,FISHLAND,NLD,TONNE,A,2014,99347,
FIN,FISHLAND,NLD,TONNE,A,2015,99946,
FIN,FISHLAND,NLD,TONNE,A,2016,104795,
FIN,FISHLAND,NLD,TONNE,A,2017,128102,
FIN,FISHLAND,NLD,TONNE,A,2018,114907,
FIN,FISHLAND,NLD,TONNE,A,2019,90149,
FIN,FISHLAND,NLD,TONNE,A,2020,87712,
FIN,FISHLAND,NLF,TONNE,A,1995,3842,
FIN,FISHLAND,NLF,TONNE,A,1996,7663,
FIN,FISHLAND,NLF,TONNE,A,1997,8388,
FIN,FISHLAND,NLF,TONNE,A,1998,10153,
FIN,FISHLAND,NLF,TONNE,A,1999,15150,
FIN,FISHLAND,NLF,TONNE,A,2000,12174,
FIN,FISHLAND,NLF,TONNE,A,2001,9776,
FIN,FISHLAND,NLF,TONNE,A,2002,7626,
FIN,FISHLAND,NLF,TONNE,A,2003,5739,
FIN,FISHLAND,NLF,TONNE,A,2004,13365,
FIN,FISHLAND,NLF,TONNE,A,2005,4872,
FIN,FISHLAND,NLF,TONNE,A,2006,6855,
FIN,FISHLAND,NLF,TONNE,A,2007,25031,
FIN,FISHLAND,NLF,TONNE,A,2008,21108,
FIN,FISHLAND,NLF,TONNE,A,2009,32489,
FIN,FISHLAND,NLF,TONNE,A,2010,39359,
FIN,FISHLAND,NLF,TONNE,A,2011,41140,
FIN,FISHLAND,NLF,TONNE,A,2012,29762,
FIN,FISHLAND,NLF,TONNE,A,2013,28464,
FIN,FISHLAND,NLF,TONNE,A,2014,48743,
FIN,FISHLAND,NLF,TONNE,A,2015,48062,
FIN,FISHLAND,NLF,TONNE,A,2016,52458,
FIN,FISHLAND,NLF,TONNE,A,2017,26325,
FIN,FISHLAND,NLF,TONNE,A,2018,32673,
FIN,FISHLAND,NLF,TONNE,A,2019,44910,
FIN,FISHLAND,NLF,TONNE,A,2020,24603,
FIN,FISHLAND,NLD,USD,A,1995,28306586.1,
FIN,FISHLAND,NLD,USD,A,1996,29862891.9,
FIN,FISHLAND,NLD,USD,A,1997,28439175.61,
FIN,FISHLAND,NLD,USD,A,1998,28019966.27,
FIN,FISHLAND,NLD,USD,A,1999,20559090.97,
FIN,FISHLAND,NLD,USD,A,2000,18637981.06,
FIN,FISHLAND,NLD,USD,A,2001,17198159.89,
FIN,FISHLAND,NLD,USD,A,2002,19961074.34,
FIN,FISHLAND,NLD,USD,A,2003,19753419.11,
FIN,FISHLAND,NLD,USD,A,2004,19863030.09,
FIN,FISHLAND,NLD,USD,A,2005,19573228.91,
FIN,FISHLAND,NLD,USD,A,2006,22269438.8,
FIN,FISHLAND,NLD,USD,A,2007,26910872.24,
FIN,FISHLAND,NLD,USD,A,2008,27537260.69,
FIN,FISHLAND,NLD,USD,A,2009,25397317.65,
FIN,FISHLAND,NLD,USD,A,2010,25810432.81,
FIN,FISHLAND,NLD,USD,A,2011,33008010.89,
FIN,FISHLAND,NLD,USD,A,2012,36405879.06,
FIN,FISHLAND,NLD,USD,A,2013,50995777.8,
FIN,FISHLAND,NLD,USD,A,2014,39511996.82,
FIN,FISHLAND,NLD,USD,A,2015,27474574.11,
FIN,FISHLAND,NLD,USD,A,2016,32144856.59,
FIN,FISHLAND,NLD,USD,A,2017,35141188.03,
FIN,FISHLAND,NLD,USD,A,2018,34772983.1,
FIN,FISHLAND,NLD,USD,A,2019,31037164.11,
FIN,FISHLAND,NLD,USD,A,2020,30250418.78,
FIN,FISHLAND,NLF,USD,A,1995,2002741.001,
FIN,FISHLAND,NLF,USD,A,1996,3402544.111,
FIN,FISHLAND,NLF,USD,A,1997,2475862.292,
FIN,FISHLAND,NLF,USD,A,1998,2201004.459,
FIN,FISHLAND,NLF,USD,A,1999,4099885.056,
FIN,FISHLAND,NLF,USD,A,2000,3669581.993,
FIN,FISHLAND,NLF,USD,A,2001,3426377.825,
FIN,FISHLAND,NLF,USD,A,2002,2538958.181,
FIN,FISHLAND,NLF,USD,A,2003,2309178.648,
FIN,FISHLAND,NLF,USD,A,2004,3162032.376,
FIN,FISHLAND,NLF,USD,A,2005,1569686.21,
FIN,FISHLAND,NLF,USD,A,2006,2795290.283,
FIN,FISHLAND,NLF,USD,A,2007,7564832.637,
FIN,FISHLAND,NLF,USD,A,2008,6244313.269,
FIN,FISHLAND,NLF,USD,A,2009,7689631.486,
FIN,FISHLAND,NLF,USD,A,2010,9394160.507,
FIN,FISHLAND,NLF,USD,A,2011,12200365.98,
FIN,FISHLAND,NLF,USD,A,2012,9444654.685,
FIN,FISHLAND,NLF,USD,A,2013,10813786.44,
FIN,FISHLAND,NLF,USD,A,2014,14122420.89,
FIN,FISHLAND,NLF,USD,A,2015,9845231.367,
FIN,FISHLAND,NLF,USD,A,2016,11728648.31,
FIN,FISHLAND,NLF,USD,A,2017,5659970.01,
FIN,FISHLAND,NLF,USD,A,2018,7294726.056,
FIN,FISHLAND,NLF,USD,A,2019,9870729.364,
FIN,FISHLAND,NLF,USD,A,2020,3997531.42,
FRA,FISHLAND,NLD,TONNE,A,1995,616011,
FRA,FISHLAND,NLD,TONNE,A,1996,398490,
FRA,FISHLAND,NLD,TONNE,A,1998,552198,
FRA,FISHLAND,NLD,TONNE,A,1999,360396,
FRA,FISHLAND,NLD,TONNE,A,2000,371268,
FRA,FISHLAND,NLD,TONNE,A,2001,366125,
FRA,FISHLAND,NLD,TONNE,A,2002,374783,
FRA,FISHLAND,NLD,TONNE,A,2003,334551,
FRA,FISHLAND,NLD,TONNE,A,2004,321291,
FRA,FISHLAND,NLD,TONNE,A,2005,294994,
FRA,FISHLAND,NLD,TONNE,A,2006,325910,
FRA,FISHLAND,NLD,TONNE,A,2007,310958.1,
FRA,FISHLAND,NLD,TONNE,A,2008,285861.4,
FRA,FISHLAND,NLD,TONNE,A,2009,214213.3,
FRA,FISHLAND,NLD,TONNE,A,2010,254876.4,
FRA,FISHLAND,NLD,TONNE,A,2011,367667.54,
FRA,FISHLAND,NLD,TONNE,A,2012,226698.9621,
FRA,FISHLAND,NLD,TONNE,A,2013,286570.3118,
FRA,FISHLAND,NLD,TONNE,A,2014,250604.2249,
FRA,FISHLAND,NLD,TONNE,A,2015,296409.0417,
FRA,FISHLAND,NLD,TONNE,A,2016,258265.4923,
FRA,FISHLAND,NLD,TONNE,A,2017,258574.6955,
FRA,FISHLAND,NLD,TONNE,A,2018,297358.2647,
FRA,FISHLAND,NLD,TONNE,A,2019,291017.2746,
FRA,FISHLAND,NLD,TONNE,A,2020,266881.6667,
FRA,FISHLAND,NLF,TONNE,A,2012,77158.94529,
FRA,FISHLAND,NLF,TONNE,A,2013,70788.2986,
FRA,FISHLAND,NLF,TONNE,A,2014,106350.983,
FRA,FISHLAND,NLF,TONNE,A,2015,161176.1786,
FRA,FISHLAND,NLF,TONNE,A,2016,191004.9004,
FRA,FISHLAND,NLF,TONNE,A,2017,161132.0665,
FRA,FISHLAND,NLF,TONNE,A,2018,184846.9937,
FRA,FISHLAND,NLF,TONNE,A,2019,212941.8869,
FRA,FISHLAND,NLF,TONNE,A,2020,169308.7123,
FRA,FISHLAND,NLD,USD,A,1995,1117091500,
FRA,FISHLAND,NLD,USD,A,1996,866009394.8,
FRA,FISHLAND,NLD,USD,A,1998,1059437503,
FRA,FISHLAND,NLD,USD,A,1999,839888484.4,
FRA,FISHLAND,NLD,USD,A,2000,778770017,
FRA,FISHLAND,NLD,USD,A,2001,755985448.4,
FRA,FISHLAND,NLD,USD,A,2002,829139120.5,
FRA,FISHLAND,NLD,USD,A,2003,930128974.5,
FRA,FISHLAND,NLD,USD,A,2004,998035686.8,
FRA,FISHLAND,NLD,USD,A,2005,963035883.2,
FRA,FISHLAND,NLD,USD,A,2006,1056914295,
FRA,FISHLAND,NLD,USD,A,2007,1081313220,
FRA,FISHLAND,NLD,USD,A,2008,1032474045,
FRA,FISHLAND,NLD,USD,A,2009,713774321.7,
FRA,FISHLAND,NLD,USD,A,2010,698095475.4,
FRA,FISHLAND,NLD,USD,A,2011,1274787524,
FRA,FISHLAND,NLD,USD,A,2012,466445753.3,
FRA,FISHLAND,NLD,USD,A,2013,585995632.8,
FRA,FISHLAND,NLD,USD,A,2014,533386087.5,
FRA,FISHLAND,NLD,USD,A,2015,747710824.3,
FRA,FISHLAND,NLD,USD,A,2016,697126681.2,
FRA,FISHLAND,NLD,USD,A,2017,656868307.5,
FRA,FISHLAND,NLD,USD,A,2018,827747153.1,
